frame num,filename,SPD,RPM,GAS,Date,Time
1,Juavan_2020-11-27_06-19-48_1606429188366.png,56.00,35.00,100.00,2020-11-27,06:19:48
2,Juavan_2020-11-27_06-19-48_1606429188631.png,49.00,32.67,100.00,2020-11-27,06:19:48
3,Juavan_2020-11-27_06-19-48_1606429188806.png,54.83,15.90,100.00,2020-11-27,06:19:48
4,Juavan_2020-11-27_06-19-49_1606429189065.png,54.25,33.10,100.00,2020-11-27,06:19:49
5,Juavan_2020-11-27_06-19-49_1606429189272.png,53.08,34.71,100.00,2020-11-27,06:19:49
6,Juavan_2020-11-27_06-19-49_1606429189505.png,55.42,35.00,96.67,2020-11-27,06:19:49
7,Juavan_2020-11-27_06-19-49_1606429189716.png,55.42,25.38,18.33,2020-11-27,06:19:49
8,Juavan_2020-11-27_06-19-49_1606429189914.png,46.67,34.12,100.00,2020-11-27,06:19:49
9,Juavan_2020-11-27_06-19-50_1606429190152.png,55.42,0.00,100.00,2020-11-27,06:19:50
10,Juavan_2020-11-27_06-19-50_1606429190353.png,56.00,25.38,0.00,2020-11-27,06:19:50
11,Juavan_2020-11-27_06-19-50_1606429190556.png,56.58,32.67,88.33,2020-11-27,06:19:50
12,Juavan_2020-11-27_06-19-50_1606429190799.png,56.00,35.00,100.00,2020-11-27,06:19:50
13,Juavan_2020-11-27_06-19-51_1606429191033.png,28.58,35.00,100.00,2020-11-27,06:19:51
14,Juavan_2020-11-27_06-19-51_1606429191291.png,56.00,5.40,23.33,2020-11-27,06:19:51
15,Juavan_2020-11-27_06-19-51_1606429191502.png,58.33,34.27,98.33,2020-11-27,06:19:51
16,Juavan_2020-11-27_06-19-51_1606429191742.png,56.58,34.12,100.00,2020-11-27,06:19:51
17,Juavan_2020-11-27_06-19-52_1606429191977.png,56.00,33.40,100.00,2020-11-27,06:19:52
18,Juavan_2020-11-27_06-19-52_1606429192204.png,56.00,35.00,100.00,2020-11-27,06:19:52
19,Juavan_2020-11-27_06-19-52_1606429192410.png,41.42,28.15,11.67,2020-11-27,06:19:52
20,Juavan_2020-11-27_06-19-52_1606429192612.png,56.58,2.92,100.00,2020-11-27,06:19:52
21,Juavan_2020-11-27_06-19-52_1606429192816.png,56.00,35.00,50.00,2020-11-27,06:19:52
22,Juavan_2020-11-27_06-19-53_1606429193029.png,50.17,18.81,98.33,2020-11-27,06:19:53
23,Juavan_2020-11-27_06-19-53_1606429193283.png,0.00,3.21,100.00,2020-11-27,06:19:53
24,Juavan_2020-11-27_06-19-53_1606429193521.png,54.25,18.81,93.33,2020-11-27,06:19:53
25,Juavan_2020-11-27_06-19-53_1606429193696.png,52.50,5.69,100.00,2020-11-27,06:19:53
26,Juavan_2020-11-27_06-19-53_1606429193915.png,54.25,-1.00,100.00,2020-11-27,06:19:53
27,Juavan_2020-11-27_06-19-54_1606429194077.png,51.33,34.71,100.00,2020-11-27,06:19:54
28,Juavan_2020-11-27_06-19-54_1606429194337.png,57.17,34.12,100.00,2020-11-27,06:19:54
29,Juavan_2020-11-27_06-19-54_1606429194541.png,55.42,34.71,16.67,2020-11-27,06:19:54
30,Juavan_2020-11-27_06-19-54_1606429194750.png,57.17,3.94,100.00,2020-11-27,06:19:54
31,Juavan_2020-11-27_06-19-54_1606429194963.png,57.17,25.67,100.00,2020-11-27,06:19:54
32,Juavan_2020-11-27_06-19-55_1606429195212.png,55.42,25.96,100.00,2020-11-27,06:19:55
33,Juavan_2020-11-27_06-19-55_1606429195443.png,57.75,34.56,98.33,2020-11-27,06:19:55
34,Juavan_2020-11-27_06-19-55_1606429195654.png,56.00,0.00,100.00,2020-11-27,06:19:55
35,Juavan_2020-11-27_06-19-55_1606429195884.png,50.75,25.67,100.00,2020-11-27,06:19:55
36,Juavan_2020-11-27_06-19-56_1606429196091.png,56.00,0.15,63.33,2020-11-27,06:19:56
37,Juavan_2020-11-27_06-19-56_1606429196297.png,51.33,-1.00,100.00,2020-11-27,06:19:56
38,Juavan_2020-11-27_06-19-56_1606429196568.png,56.00,6.12,100.00,2020-11-27,06:19:56
39,Juavan_2020-11-27_06-19-56_1606429196829.png,55.42,33.40,100.00,2020-11-27,06:19:56
40,Juavan_2020-11-27_06-19-57_1606429197034.png,58.33,34.71,100.00,2020-11-27,06:19:57
41,Juavan_2020-11-27_06-19-57_1606429197212.png,51.33,-1.00,100.00,2020-11-27,06:19:57
42,Juavan_2020-11-27_06-19-57_1606429197472.png,56.00,32.81,96.67,2020-11-27,06:19:57
43,Juavan_2020-11-27_06-19-57_1606429197653.png,55.42,34.42,100.00,2020-11-27,06:19:57
44,Juavan_2020-11-27_06-19-57_1606429197888.png,56.58,18.67,100.00,2020-11-27,06:19:57
45,Juavan_2020-11-27_06-19-58_1606429198114.png,50.75,9.33,100.00,2020-11-27,06:19:58
46,Juavan_2020-11-27_06-19-58_1606429198351.png,50.17,33.69,76.67,2020-11-27,06:19:58
47,Juavan_2020-11-27_06-19-58_1606429198598.png,54.25,35.00,100.00,2020-11-27,06:19:58
48,Juavan_2020-11-27_06-19-58_1606429198771.png,56.00,15.02,100.00,2020-11-27,06:19:58
49,Juavan_2020-11-27_06-19-59_1606429199063.png,33.25,0.29,100.00,2020-11-27,06:19:59
50,Juavan_2020-11-27_06-19-59_1606429199264.png,53.08,34.71,100.00,2020-11-27,06:19:59
51,Juavan_2020-11-27_06-19-59_1606429199471.png,48.42,34.56,3.33,2020-11-27,06:19:59
52,Juavan_2020-11-27_06-19-59_1606429199703.png,45.50,33.54,95.00,2020-11-27,06:19:59
53,Juavan_2020-11-27_06-19-59_1606429199943.png,53.08,-1.00,100.00,2020-11-27,06:19:59
54,Juavan_2020-11-27_06-20-00_1606429200144.png,55.42,34.12,100.00,2020-11-27,06:20:00
55,Juavan_2020-11-27_06-20-00_1606429200345.png,114.33,35.00,100.00,2020-11-27,06:20:00
56,Juavan_2020-11-27_06-20-00_1606429200574.png,140.00,13.27,100.00,2020-11-27,06:20:00
57,Juavan_2020-11-27_06-20-00_1606429200781.png,0.00,33.25,46.67,2020-11-27,06:20:00
58,Juavan_2020-11-27_06-20-01_1606429200994.png,140.00,33.98,71.67,2020-11-27,06:20:01
59,Juavan_2020-11-27_06-20-01_1606429201221.png,54.83,10.35,100.00,2020-11-27,06:20:01
60,Juavan_2020-11-27_06-20-01_1606429201422.png,0.00,10.21,81.67,2020-11-27,06:20:01
61,Juavan_2020-11-27_06-20-01_1606429201638.png,140.00,33.25,58.33,2020-11-27,06:20:01
62,Juavan_2020-11-27_06-20-01_1606429201866.png,140.00,8.75,100.00,2020-11-27,06:20:01
63,Juavan_2020-11-27_06-20-02_1606429202120.png,140.00,35.00,0.00,2020-11-27,06:20:02
64,Juavan_2020-11-27_06-20-02_1606429202364.png,89.83,0.00,100.00,2020-11-27,06:20:02
65,Juavan_2020-11-27_06-20-02_1606429202577.png,140.00,0.00,85.00,2020-11-27,06:20:02
66,Juavan_2020-11-27_06-20-02_1606429202814.png,52.50,35.00,100.00,2020-11-27,06:20:02
67,Juavan_2020-11-27_06-20-03_1606429203047.png,49.00,35.00,58.33,2020-11-27,06:20:03
68,Juavan_2020-11-27_06-20-03_1606429203310.png,55.42,35.00,0.00,2020-11-27,06:20:03
69,Juavan_2020-11-27_06-20-03_1606429203527.png,50.75,0.00,100.00,2020-11-27,06:20:03
70,Juavan_2020-11-27_06-20-03_1606429203770.png,53.08,35.00,0.00,2020-11-27,06:20:03
